CustomerID,Age,Income,EmploymentStatus,LoanProduct,LoanAmount,RepaymentHistory,Frequency,Recency,Monetary,LoanTaken,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,AgeGroup,IncomeBracket
1,56,96312,1,3,102354,0,18,9,389830,0,2,4,4,10,High,5,3
2,46,118371,1,3,394872,1,8,5,115138,0,3,2,1,6,Low,4,4
3,32,95324,0,1,17822,1,3,6,123871,0,3,1,1,5,Low,2,3
4,60,91196,0,1,186288,1,19,2,24678,1,4,4,1,9,Medium,5,3
5,25,90014,1,2,434805,2,19,8,41623,0,2,4,1,7,Medium,1,3
6,38,28210,1,1,201334,1,2,3,18369,0,4,1,1,6,Low,3,1
7,56,30922,0,1,456127,1,17,1,433735,1,4,4,4,12,High,5,1
8,36,56289,1,2,137508,1,16,7,229817,0,2,4,2,8,Medium,3,2
9,40,149097,0,3,460070,1,10,3,366172,0,4,2,3,9,Medium,3,4
10,28,53340,0,3,460104,2,16,4,374893,0,3,4,3,10,High,2,2
11,28,59850,1,1,378345,1,5,5,210977,0,3,1,2,6,Low,2,2
12,41,76984,1,2,294425,0,3,1,47256,0,4,1,1,6,Low,3,2
13,53,123699,0,3,355161,1,3,11,242425,0,1,1,2,4,Low,4,4
14,57,133711,2,0,363149,0,2,11,346037,1,1,1,3,5,Low,5,4
15,41,104178,0,4,89403,1,4,9,96006,1,2,1,1,4,Low,3,3
16,20,31094,1,4,373167,0,18,7,89419,0,2,4,1,7,Medium,1,1
17,39,107959,0,4,190024,1,2,2,399545,0,4,1,4,9,Medium,3,3
18,19,53418,1,1,27766,0,6,1,97586,1,4,2,1,7,Medium,1,2
19,41,25741,2,4,231345,1,3,11,396285,0,1,1,4,6,Low,3,1
20,61,131585,0,4,419429,1,3,2,298551,1,4,1,3,8,Medium,5,4
21,47,92374,2,0,361035,0,2,3,124805,0,4,1,1,6,Low,4,3
22,55,137275,1,3,329383,1,3,3,449995,1,4,1,4,9,Medium,4,4
23,19,142564,1,0,158609,0,17,8,83074,0,2,4,1,7,Medium,1,4
24,38,88798,0,1,401010,1,14,5,417050,1,3,3,4,10,High,3,3
25,50,136026,1,4,457420,1,7,9,52303,1,2,2,1,5,Low,4,4
26,29,90532,1,3,245904,0,6,3,112665,1,4,2,1,7,Medium,2,3
27,39,130130,0,4,168396,1,8,6,231354,1,3,2,2,7,Medium,3,4
28,61,42164,2,4,61764,1,19,4,306969,1,3,4,3,10,High,5,1
29,42,55595,0,1,35858,2,19,8,344311,0,2,4,3,9,Medium,3,2
30,44,50257,0,4,47850,1,12,1,193089,0,4,3,2,9,Medium,3,1
31,59,34211,0,2,411234,1,5,4,48327,0,3,1,1,5,Low,5,1
32,45,115989,0,3,132171,1,5,7,74830,0,2,1,1,4,Low,3,3
33,33,25232,1,3,350161,0,14,9,309568,0,2,3,3,8,Medium,2,1
34,32,87753,0,2,317934,2,17,1,457752,0,4,4,4,12,High,2,3
35,64,72691,2,1,348264,2,16,8,378818,0,2,4,4,10,High,5,2
36,61,109765,0,4,276994,1,4,2,88650,0,4,1,1,6,Low,5,3
37,20,99768,0,4,227309,1,8,4,471901,0,3,2,4,9,Medium,1,3
38,54,45613,0,3,373903,1,3,4,183318,0,3,1,2,6,Low,4,1
39,24,34026,0,1,182047,1,5,8,65638,0,2,1,1,4,Low,1,1
40,38,73535,2,1,201582,1,7,11,497643,0,1,2,4,7,Medium,3,2
41,26,114090,1,1,332840,1,18,2,421793,0,4,4,4,12,High,2,3
42,56,50908,1,4,161904,0,8,7,168247,1,2,2,2,6,Low,5,1
43,35,72113,0,1,232818,0,11,3,386453,1,4,3,4,11,High,2,2
44,21,39610,0,2,92826,1,14,9,199681,0,2,3,2,7,Medium,1,1
45,42,66646,0,0,493193,2,18,5,119952,1,3,4,1,8,Medium,3,2
46,31,125141,0,1,160958,2,13,8,380814,1,2,3,4,9,Medium,2,4
47,26,83185,0,0,234002,1,6,5,351093,1,3,2,3,8,Medium,2,2
48,43,92567,1,4,144490,1,13,1,63587,0,4,3,1,8,Medium,3,3
